asset_id,name,kind,latitude,longitude,nearest_km,detections_5km,high_conf_5km,total_frp_5km,max_frp_5km,detections_10km,high_conf_10km,total_frp_10km,max_frp_10km,detections_25km,high_conf_25km,total_frp_25km,max_frp_25km,days_exposed_10km,max_consecutive_days_10km,last_exposure_10km,risk_score,risk_level
91,Puerto de Sevilla,port,37.355885,-5.9911445,2.02,1,0,5.1,5.1,8,1,68.5,31.2,42,3,230.8,31.2,6,1,2022-12-19,0.881,high
81,Sevilla,port,37.3543494,-5.9943348,2.24,1,0,5.1,5.1,8,1,68.5,31.2,43,3,238.8,31.2,6,1,2022-12-19,0.881,high
188,Porto da Lapa das Pombas,port,37.6363558,-8.8082915,1.8,3,0,15.8,9.4,8,0,34.5,9.4,24,4,330.3,48.5,8,1,2022-12-02,0.867,high
50,Beja Airport / Airbase,airport,38.078899,-7.9324,2.61,5,0,34.5,11.3,11,1,63.5,11.3,36,2,337.6,56.7,5,1,2022-10-18,0.864,high
56,Faro - Gago Coutinho International Airport,airport,37.015909,-7.970939,1.83,46,1,484.5,86.3,61,5,818.3,86.3,72,6,842.8,86.3,4,3,2022-11-07,0.862,high
24,Adolfo Suárez Madrid–Barajas Airport,airport,40.493407,-3.572249,0.39,7,0,31.1,5.7,13,0,40.0,5.7,43,0,172.6,31.6,7,2,2022-09-22,0.86,high
64,Sintra Air Base,airport,38.8311,-9.33955,3.02,3,2,31.8,13.4,25,9,814.2,67.5,32,9,827.7,67.5,4,1,2022-07-10,0.86,high
14,Lleida-Alguaire Airport,airport,41.728185,0.535023,2.39,1,0,1.2,1.2,10,0,27.8,6.4,68,0,329.9,55.4,9,2,2022-11-10,0.858,high
177,Medway Terminals - Sines Raquete,port,37.9766309,-8.7752564,2.82,10,0,22.0,4.0,11,0,22.8,4.0,13,0,29.2,4.0,10,2,2022-12-06,0.856,high
17,F.G.L. Airport Granada-Jaén Airport,airport,37.188702,-3.77736,3.27,5,0,12.3,3.3,10,0,21.9,3.3,20,0,66.0,8.3,9,1,2022-11-30,0.848,high
111,Port d'Alacant,port,38.3288027,-0.4923146,5.17,0,0,0.0,0.0,13,0,42.6,29.3,33,4,238.5,29.3,11,2,2022-12-17,0.847,high
46,Zaragoza Airport,airport,41.666199,-1.04155,3.1,3,1,28.7,20.8,7,2,43.3,20.8,54,4,462.2,45.7,5,1,2022-06-16,0.845,high
22,León Airport,airport,42.590709,-5.653406,4.3,1,0,1.5,1.5,6,0,102.5,46.3,33,0,442.6,59.6,4,1,2022-09-04,0.844,high
47,Seville Airport,airport,37.417999,-5.89311,2.42,4,0,8.2,3.8,7,0,34.5,12.8,44,1,352.6,35.2,6,1,2022-12-19,0.842,high
40,Madrid–Torrejón Airport / Torrejón Air Base,airport,40.487875,-3.456808,4.11,2,0,7.4,3.7,8,0,37.7,5.7,41,0,162.1,31.6,5,1,2022-08-30,0.834,high
193,Port de Castelló,port,39.9629332,0.0174603,1.28,5,0,12.5,6.2,8,0,20.0,6.2,23,0,236.8,124.6,8,2,2022-11-26,0.826,high
162,Terminal XXI,port,37.9341123,-8.8410052,4.32,8,0,16.8,4.0,8,0,16.8,4.0,15,0,38.5,5.5,8,2,2022-12-06,0.82,high
161,Terminal Multipurpose de Sines,port,37.9403323,-8.853268,4.9,4,0,4.7,1.4,8,0,16.8,4.0,15,0,38.5,5.5,8,2,2022-12-06,0.82,high
198,Terminal de Gás Natural,port,37.939311,-8.8452799,4.32,8,0,16.8,4.0,8,0,16.8,4.0,15,0,38.5,5.5,8,2,2022-12-06,0.82,high
158,Terminal de Cruceros de Málaga,port,36.7069119,-4.4145279,4.17,2,0,11.7,6.9,9,0,22.2,6.9,222,58,8764.1,216.6,7,1,2022-09-07,0.818,high
48,Alverca Air Base,airport,38.883301,-9.0301,1.3,9,0,16.5,2.2,9,0,16.5,2.2,38,7,552.2,73.5,8,2,2022-10-07,0.815,high
54,Cascais Airport,airport,38.724998,-9.35523,2.93,8,2,377.3,67.5,10,2,391.4,67.5,32,9,844.9,67.5,3,1,2022-09-03,0.806,high
58,Montijo Air Base,airport,38.70929,-9.03368,6.32,0,0,0.0,0.0,9,0,50.6,23.7,54,8,978.7,225.0,5,1,2022-07-07,0.794,high
23,Logroño-Agoncillo Airport,airport,42.460953,-2.322235,4.68,2,0,8.9,5.0,6,0,74.5,29.7,42,1,373.9,29.7,3,1,2022-08-11,0.787,high
51,Braga Municipal Aerodrome,airport,41.587,-8.445189,4.85,1,1,5.1,5.1,7,2,71.0,19.3,166,7,1004.8,52.7,3,1,2022-08-22,0.785,high
152,Plataforma Logística de Elvas,port,38.8962336,-7.1421864,0.73,2,0,6.6,4.2,6,0,30.1,9.9,34,5,174.5,14.6,4,1,2022-10-17,0.784,high
15,Armilla Air Base,airport,37.133202,-3.63569,1.84,3,0,18.7,8.3,6,0,29.2,8.3,48,0,783.7,218.3,4,2,2022-10-17,0.781,high
8,Burgos Airport,airport,42.357601,-3.62076,3.38,1,0,5.5,5.5,4,0,29.0,15.9,19,2,284.4,40.5,4,2,2022-09-01,0.779,high
117,APM Terminals,port,39.4526189,-0.3173326,2.78,4,0,11.1,4.7,6,0,14.3,4.7,51,0,154.6,18.6,5,1,2022-11-07,0.769,high
6,Córdoba Airport,airport,37.841999,-4.84888,5.23,0,0,0.0,0.0,6,0,60.1,22.2,31,1,188.2,22.2,4,1,2022-09-02,0.766,high
